param-n,actual-reif-for-TypeClassesBodyFlatPHOAS-with-big-flat-real,actual-reif-for-TypeClassesBodyFlatPHOAS-with-big-flat-sys,actual-reif-for-TypeClassesBodyFlatPHOAS-with-big-flat-user,actual-reif-for-TypeClassesBodyHOAS-with-big-real,actual-reif-for-TypeClassesBodyHOAS-with-big-sys,actual-reif-for-TypeClassesBodyHOAS-with-big-user,actual-reif-for-TypeClassesBodyHOAS-with-big-flat-real,actual-reif-for-TypeClassesBodyHOAS-with-big-flat-sys,actual-reif-for-TypeClassesBodyHOAS-with-big-flat-user,actual-reif-for-TypeClassesPHOAS-with-big-real,actual-reif-for-TypeClassesPHOAS-with-big-sys,actual-reif-for-TypeClassesPHOAS-with-big-user,actual-reif-for-TypeClassesPHOAS-with-big-flat-real,actual-reif-for-TypeClassesPHOAS-with-big-flat-sys,actual-reif-for-TypeClassesPHOAS-with-big-flat-user,cbv-for-TypeClassesBodyFlatPHOAS-with-big-flat-real,cbv-for-TypeClassesBodyFlatPHOAS-with-big-flat-sys,cbv-for-TypeClassesBodyFlatPHOAS-with-big-flat-user,cbv-for-TypeClassesBodyHOAS-with-big-real,cbv-for-TypeClassesBodyHOAS-with-big-sys,cbv-for-TypeClassesBodyHOAS-with-big-user,cbv-for-TypeClassesBodyHOAS-with-big-flat-real,cbv-for-TypeClassesBodyHOAS-with-big-flat-sys,cbv-for-TypeClassesBodyHOAS-with-big-flat-user,cbv-for-TypeClassesPHOAS-with-big-real,cbv-for-TypeClassesPHOAS-with-big-sys,cbv-for-TypeClassesPHOAS-with-big-user,cbv-for-TypeClassesPHOAS-with-big-flat-real,cbv-for-TypeClassesPHOAS-with-big-flat-sys,cbv-for-TypeClassesPHOAS-with-big-flat-user,eval-lazy-for-TypeClassesBodyFlatPHOAS-with-big-flat-real,eval-lazy-for-TypeClassesBodyFlatPHOAS-with-big-flat-sys,eval-lazy-for-TypeClassesBodyFlatPHOAS-with-big-flat-user,eval-lazy-for-TypeClassesBodyHOAS-with-big-real,eval-lazy-for-TypeClassesBodyHOAS-with-big-sys,eval-lazy-for-TypeClassesBodyHOAS-with-big-user,eval-lazy-for-TypeClassesBodyHOAS-with-big-flat-real,eval-lazy-for-TypeClassesBodyHOAS-with-big-flat-sys,eval-lazy-for-TypeClassesBodyHOAS-with-big-flat-user,eval-lazy-for-TypeClassesPHOAS-with-big-real,eval-lazy-for-TypeClassesPHOAS-with-big-sys,eval-lazy-for-TypeClassesPHOAS-with-big-user,eval-lazy-for-TypeClassesPHOAS-with-big-flat-real,eval-lazy-for-TypeClassesPHOAS-with-big-flat-sys,eval-lazy-for-TypeClassesPHOAS-with-big-flat-user,lazy-beta-iota-for-TypeClassesBodyFlatPHOAS-with-big-flat-real,lazy-beta-iota-for-TypeClassesBodyFlatPHOAS-with-big-flat-sys,lazy-beta-iota-for-TypeClassesBodyFlatPHOAS-with-big-flat-user,lazy-beta-iota-for-TypeClassesBodyHOAS-with-big-real,lazy-beta-iota-for-TypeClassesBodyHOAS-with-big-sys,lazy-beta-iota-for-TypeClassesBodyHOAS-with-big-user,lazy-beta-iota-for-TypeClassesBodyHOAS-with-big-flat-real,lazy-beta-iota-for-TypeClassesBodyHOAS-with-big-flat-sys,lazy-beta-iota-for-TypeClassesBodyHOAS-with-big-flat-user,lazy-beta-iota-for-TypeClassesPHOAS-with-big-real,lazy-beta-iota-for-TypeClassesPHOAS-with-big-sys,lazy-beta-iota-for-TypeClassesPHOAS-with-big-user,lazy-beta-iota-for-TypeClassesPHOAS-with-big-flat-real,lazy-beta-iota-for-TypeClassesPHOAS-with-big-flat-sys,lazy-beta-iota-for-TypeClassesPHOAS-with-big-flat-user,norm-reif-for-TypeClassesBodyFlatPHOAS-with-big-flat-real,norm-reif-for-TypeClassesBodyFlatPHOAS-with-big-flat-sys,norm-reif-for-TypeClassesBodyFlatPHOAS-with-big-flat-user,norm-reif-for-TypeClassesBodyHOAS-with-big-real,norm-reif-for-TypeClassesBodyHOAS-with-big-sys,norm-reif-for-TypeClassesBodyHOAS-with-big-user,norm-reif-for-TypeClassesBodyHOAS-with-big-flat-real,norm-reif-for-TypeClassesBodyHOAS-with-big-flat-sys,norm-reif-for-TypeClassesBodyHOAS-with-big-flat-user,norm-reif-for-TypeClassesPHOAS-with-big-real,norm-reif-for-TypeClassesPHOAS-with-big-sys,norm-reif-for-TypeClassesPHOAS-with-big-user,norm-reif-for-TypeClassesPHOAS-with-big-flat-real,norm-reif-for-TypeClassesPHOAS-with-big-flat-sys,norm-reif-for-TypeClassesPHOAS-with-big-flat-user,post-for-TypeClassesBodyFlatPHOAS-with-big-flat-real,post-for-TypeClassesBodyFlatPHOAS-with-big-flat-sys,post-for-TypeClassesBodyFlatPHOAS-with-big-flat-user,post-for-TypeClassesBodyHOAS-with-big-real,post-for-TypeClassesBodyHOAS-with-big-sys,post-for-TypeClassesBodyHOAS-with-big-user,post-for-TypeClassesBodyHOAS-with-big-flat-real,post-for-TypeClassesBodyHOAS-with-big-flat-sys,post-for-TypeClassesBodyHOAS-with-big-flat-user,post-for-TypeClassesPHOAS-with-big-real,post-for-TypeClassesPHOAS-with-big-sys,post-for-TypeClassesPHOAS-with-big-user,post-for-TypeClassesPHOAS-with-big-flat-real,post-for-TypeClassesPHOAS-with-big-flat-sys,post-for-TypeClassesPHOAS-with-big-flat-user,pre-for-TypeClassesBodyFlatPHOAS-with-big-flat-real,pre-for-TypeClassesBodyFlatPHOAS-with-big-flat-sys,pre-for-TypeClassesBodyFlatPHOAS-with-big-flat-user,pre-for-TypeClassesBodyHOAS-with-big-real,pre-for-TypeClassesBodyHOAS-with-big-sys,pre-for-TypeClassesBodyHOAS-with-big-user,pre-for-TypeClassesBodyHOAS-with-big-flat-real,pre-for-TypeClassesBodyHOAS-with-big-flat-sys,pre-for-TypeClassesBodyHOAS-with-big-flat-user,pre-for-TypeClassesPHOAS-with-big-real,pre-for-TypeClassesPHOAS-with-big-sys,pre-for-TypeClassesPHOAS-with-big-user,pre-for-TypeClassesPHOAS-with-big-flat-real,pre-for-TypeClassesPHOAS-with-big-flat-sys,pre-for-TypeClassesPHOAS-with-big-flat-user,reif-for-TypeClassesBodyFlatPHOAS-with-big-flat-real,reif-for-TypeClassesBodyFlatPHOAS-with-big-flat-sys,reif-for-TypeClassesBodyFlatPHOAS-with-big-flat-user,reif-for-TypeClassesBodyHOAS-with-big-real,reif-for-TypeClassesBodyHOAS-with-big-sys,reif-for-TypeClassesBodyHOAS-with-big-user,reif-for-TypeClassesBodyHOAS-with-big-flat-real,reif-for-TypeClassesBodyHOAS-with-big-flat-sys,reif-for-TypeClassesBodyHOAS-with-big-flat-user,reif-for-TypeClassesPHOAS-with-big-real,reif-for-TypeClassesPHOAS-with-big-sys,reif-for-TypeClassesPHOAS-with-big-user,reif-for-TypeClassesPHOAS-with-big-flat-real,reif-for-TypeClassesPHOAS-with-big-flat-sys,reif-for-TypeClassesPHOAS-with-big-flat-user,transitivity-(Denote-rv)-for-TypeClassesBodyFlatPHOAS-with-big-flat-real,transitivity-(Denote-rv)-for-TypeClassesBodyFlatPHOAS-with-big-flat-sys,transitivity-(Denote-rv)-for-TypeClassesBodyFlatPHOAS-with-big-flat-user,transitivity-(Denote-rv)-for-TypeClassesBodyHOAS-with-big-real,transitivity-(Denote-rv)-for-TypeClassesBodyHOAS-with-big-sys,transitivity-(Denote-rv)-for-TypeClassesBodyHOAS-with-big-user,transitivity-(Denote-rv)-for-TypeClassesBodyHOAS-with-big-flat-real,transitivity-(Denote-rv)-for-TypeClassesBodyHOAS-with-big-flat-sys,transitivity-(Denote-rv)-for-TypeClassesBodyHOAS-with-big-flat-user,transitivity-(Denote-rv)-for-TypeClassesPHOAS-with-big-real,transitivity-(Denote-rv)-for-TypeClassesPHOAS-with-big-sys,transitivity-(Denote-rv)-for-TypeClassesPHOAS-with-big-user,transitivity-(Denote-rv)-for-TypeClassesPHOAS-with-big-flat-real,transitivity-(Denote-rv)-for-TypeClassesPHOAS-with-big-flat-sys,transitivity-(Denote-rv)-for-TypeClassesPHOAS-with-big-flat-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.,0.004,0.,0.004,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.004,0.,0.004,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.004,0.,0.004,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.005,0.,0.004,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
5,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.006,0.,0.006,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.,0.001,0.,0.,0.,0.006,0.,0.006,0.002,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.007,0.,0.007,0.002,0.,0.001,,,,,,,,,,,,,,,
6,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.,0.007,0.,0.007,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.,0.007,0.,0.007,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001,0.007,0.,0.007,0.003,0.,0.003,,,,,,,,,,,,,,,
7,0.001,0.,0.001,0.002,0.,0.002,0.,0.,0.,0.01,0.,0.01,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.002,0.,0.002,0.,0.,0.,0.01,0.,0.01,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.003,0.,0.003,0.001,0.,0.001,0.01,0.,0.01,0.002,0.,0.002,,,,,,,,,,,,,,,
8,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001,0.01,0.,0.01,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001,0.011,0.,0.011,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.003,0.,0.003,0.001,0.,0.001,0.011,0.,0.011,0.003,0.,0.003,,,,,,,,,,,,,,,
9,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001,0.013,0.,0.013,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001,0.013,0.,0.013,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.003,0.,0.003,0.001,0.,0.001,0.013,0.,0.013,0.003,0.,0.003,,,,,,,,,,,,,,,
10,0.001,0.,0.001,0.003,0.,0.003,0.001,0.,0.001,0.015,0.,0.015,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.003,0.,0.003,0.001,0.,0.001,0.015,0.,0.015,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.003,0.,0.003,0.001,0.,0.001,0.015,0.,0.015,0.004,0.,0.004,,,,,,,,,,,,,,,
