param-n,zify-big-context-regression-quadratic-real,zify-big-context-regression-quadratic-sys,zify-big-context-regression-quadratic-user
1,0.,0.,0.
2,0.,0.,0.
3,0.,0.,0.
4,0.,0.,0.
5,0.,0.,0.
6,0.,0.,0.
7,0.,0.,0.
8,0.,0.,0.
9,0.,0.,0.
10,0.,0.,0.
11,0.,0.,0.
12,0.001,0.,0.001
13,0.001,0.,0.001
14,0.001,0.,0.001
15,0.001,0.,0.001
16,0.001,0.001,0.
17,0.001,0.001,0.
18,0.001,0.,0.001
19,0.002,0.002,0.
20,0.002,0.001,0.001
21,0.037,0.,0.037
22,0.001,0.,0.001
23,0.001,0.,0.001
24,0.001,0.,0.001
25,0.002,0.,0.002
26,0.002,0.,0.002
27,0.002,0.,0.002
28,0.003,0.,0.003
29,0.002,0.,0.002
30,0.002,0.,0.002
31,0.003,0.,0.003
32,0.003,0.,0.003
33,0.004,0.,0.004
34,0.003,0.,0.003
35,0.003,0.,0.003
36,0.003,0.,0.003
37,0.005,0.,0.005
38,0.004,0.,0.004
39,0.004,0.,0.004
40,0.004,0.,0.004
41,0.006,0.,0.006
42,0.005,0.,0.005
43,0.005,0.,0.005
44,0.007,0.,0.007
45,0.005,0.,0.005
50,0.011,0.003,0.007
100,0.071,0.016,0.054
150,0.089,0.,0.089
200,0.158,0.,0.158
